Destinataires;Date;Lieu;Objet (narratio et petitio);Contreseing;Langue de rédaction;Pronom personnel employé;Statut;Institution de conservation;Cote;Référence bibliographique;URL vers texte numérisé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Princesse de Viane (Madeleine de France);09/09/1483;Amboise;Invitation à consentir au mariage de la reine Catherine de Navarre avec Jean, fils aîné d'Alain, sire d'Albret.;Mesme;Français;Je;Copie. ;Archives des Basses-Pyrénées;E 543.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.6.;https://archive.org/details/lettresdecharle06chargoog/page/n19/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reine de Navarre (Catherine de Navarre);09/09/1483;Amboise;Invitation à consentir au mariage de la reine Catherine de Navarre avec Jean, fils aîné d'Alain, sire d'Albret.;Mesme;Français;Je;Copie. ;Archives des Basses-Pyrénées;E 543.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.8.;https://archive.org/details/lettresdecharle06chargoog/page/n21/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duc de Milan (Jean Galéas Sforza);21/09/1483;Amboise;Réponse à la dernière lettre écrite par le duc au roi Louis XI, promesse à s'employer à la pacification de l'Italie.;Charbonier;Latin;Nous;Orig. ;Archives de Milan; Potenze estere, corrispondenze diplomatiche.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.12.;https://archive.org/details/lettresdecharle06chargoog/page/n25/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duc de Milan (Jean Galéas Sforza);02/08/1484;Paris;Sur les plaintes de sa tante la duchesse de Milan, que l'on dit plus maltraitée qu'une esclave, envoie en ambassade de maître Jean Cloppet avec ordre de s'enquérir de l'état de la duchesse et de lui faire obtenir réparation.;;Français;Nous;Orig. ;Archives de Milan;Carteggio dei Principi.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.43.;https://archive.org/details/lettresdecharle06chargoog/page/n55/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duc de Milan (Jean Galéas Sforza);28/02/1485;Paris;Désir que sa tante, mère du duc, reçoive le meilleur traitement possible.;Parent;Français;Nous;Orig. ;Archives de Milan;Potenze estere, Francia, filza Ia. ;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.67.;https://archive.org/details/lettresdecharle06chargoog/page/n79/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duc de Milan (Jean Galéas Sforza);22/05/1486;Troyes;"À la requête d'Etienne Federigo, de la ville de Lucques, certaine sentence a été rendue par le duc de Savoie à l'encontre de Paul Federigo et autres de la même ville ; mais ceux-ci ayant refusé de s'y soumettre, ledit Etienne a dépensé grande partie de son bien pour en poursuivre l'exécution. Prière au duc d'inviter les Lucquois à nommer deux ou trois notables personnages chargés de passer un compromis avec les représentants dudit Etienne et à les envoyer à la cour de France, où le différend sera résolu et pacifié.";Damont;Français;Nous;Orig. ;Archivio di Stato de Lucques; Tarpea. ;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.108.;https://archive.org/details/lettresdecharle06chargoog/page/n121/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duc de Milan (Jean Galéas Sforza);20/01/1487;Amboise ;Prière d'intervenir auprès du duc de Savoie pour le décider à résoudre pacifiquement l'affaire du marquisat de Saluces.;Parent;Latin;Nous;Orig. ;Archives de Milan;Carteggio de' Principi.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.147.;https://archive.org/details/lettresdecharle06chargoog/page/n157/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duc de Milan (Jean Galéas Sforza);13/02/1487;Chinon;"Le duc de Savoie a envahi le territoire de Saluces ; Prière au duc de Milan qu'il obtienne de lui la cessation des hostilités.";;Latin;Nous;Copie. ;Archives de Milan;Potenze estere, Francia, filza 1.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.150.;https://archive.org/details/lettresdecharle06chargoog/page/n161/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duc de Milan (Jean Galéas Sforza);08/05/1487;Laval;Le duc de Savoie se dit prêt à entrer en négociatons avec la France au sujet du marquisat de Saluces. Prière au duc de Milan d'obtempérer aux désirs du roi en cette matière.;Menou;Latin;Nous;Orig. ;Archives de Milan; Potenze estere, Francia, filza 1.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.179.;https://archive.org/details/lettresdecharle06chargoog/page/n189/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Philippe Duc de Brabant;05/11/1483;Blois;Les ambasadeurs envoyés par les états de Flandre pour féliciter Charles VIII de son avènement au trône avaient été arrêtés par les hommes d'armes de Lancelot  de Berlaimont. Le roi informe le Duc Philippe qu'il adresse Guinot de Lauzière et Eustache Luillier à Maximilien son père, pour requérir leur mise en liberté .;;Français;Nous;Copie. ;Archives du Royaume de Belgique;Chambre des comptes, reg. n°104, fol.46.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.21.;https://archive.org/details/lettresdecharle06chargoog/page/n33/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
